{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 2, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': '1673245489', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 2, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': 1673245490, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   8%|▊         | 77/1000 [00:00<00:01, 762.89it/s]Pre-process:  16%|█▋        | 164/1000 [00:00<00:01, 822.34it/s]Pre-process:  25%|██▌       | 250/1000 [00:00<00:00, 838.03it/s]Pre-process:  34%|███▎      | 337/1000 [00:00<00:00, 849.51it/s]Pre-process:  42%|████▏     | 422/1000 [00:00<00:00, 821.17it/s]Pre-process:  50%|█████     | 505/1000 [00:00<00:00, 800.12it/s]Pre-process:  59%|█████▊    | 586/1000 [00:00<00:00, 793.67it/s]Pre-process:  67%|██████▋   | 666/1000 [00:00<00:00, 788.19it/s]Pre-process:  74%|███████▍  | 745/1000 [00:00<00:00, 777.36it/s]Pre-process:  83%|████████▎ | 828/1000 [00:01<00:00, 792.81it/s]Pre-process:  91%|█████████ | 912/1000 [00:01<00:00, 806.41it/s]Pre-process: 100%|█████████▉| 998/1000 [00:01<00:00, 820.56it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 808.83it/s]
Basis total: 6
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=51ecea938e8b7bfc38be462eb05bc437ae1578b4
Without batch_norm.
#Params: 531458
Epoch: 001, Train Loss: 0.7008544, Train Acc: 0.5488889, Test Acc: 0.5700000
Epoch: 002, Train Loss: 0.6921248, Train Acc: 0.6111111, Test Acc: 0.6200000
Epoch: 003, Train Loss: 0.6953097, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 004, Train Loss: 0.6901475, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 005, Train Loss: 0.6888465, Train Acc: 0.5100000, Test Acc: 0.4900000
Epoch: 006, Train Loss: 0.6914149, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 007, Train Loss: 0.6938930, Train Acc: 0.5900000, Test Acc: 0.5500000
Epoch: 008, Train Loss: 0.6777648, Train Acc: 0.5488889, Test Acc: 0.5700000
Epoch: 009, Train Loss: 0.6663723, Train Acc: 0.5977778, Test Acc: 0.6400000
Epoch: 010, Train Loss: 0.6268021, Train Acc: 0.6255556, Test Acc: 0.6400000
Epoch: 011, Train Loss: 0.5903078, Train Acc: 0.6922222, Test Acc: 0.7000000
Epoch: 012, Train Loss: 0.6144806, Train Acc: 0.7000000, Test Acc: 0.7100000
Epoch: 013, Train Loss: 0.6106338, Train Acc: 0.6411111, Test Acc: 0.6300000
Epoch: 014, Train Loss: 0.5904287, Train Acc: 0.6822222, Test Acc: 0.6900000
Epoch: 015, Train Loss: 0.5809807, Train Acc: 0.6944444, Test Acc: 0.7300000
Epoch: 016, Train Loss: 0.6160909, Train Acc: 0.6566667, Test Acc: 0.7000000
Epoch: 017, Train Loss: 0.5909949, Train Acc: 0.6822222, Test Acc: 0.6900000
Epoch: 018, Train Loss: 0.6764004, Train Acc: 0.6388889, Test Acc: 0.6400000
Epoch: 019, Train Loss: 0.5891988, Train Acc: 0.6688889, Test Acc: 0.6400000
Epoch: 020, Train Loss: 0.5846487, Train Acc: 0.6800000, Test Acc: 0.7100000
Epoch: 021, Train Loss: 0.6011640, Train Acc: 0.6466667, Test Acc: 0.6300000
Epoch: 022, Train Loss: 0.6754608, Train Acc: 0.6433333, Test Acc: 0.6700000
Epoch: 023, Train Loss: 0.5947237, Train Acc: 0.6733333, Test Acc: 0.6600000
Epoch: 024, Train Loss: 0.5964969, Train Acc: 0.6622222, Test Acc: 0.6600000
Epoch: 025, Train Loss: 0.6540856, Train Acc: 0.6344444, Test Acc: 0.7100000
Epoch: 026, Train Loss: 0.6095724, Train Acc: 0.6577778, Test Acc: 0.7000000
Epoch: 027, Train Loss: 0.5957126, Train Acc: 0.6666667, Test Acc: 0.7100000
Epoch: 028, Train Loss: 0.5621397, Train Acc: 0.6933333, Test Acc: 0.7200000
Epoch: 029, Train Loss: 0.5824344, Train Acc: 0.6800000, Test Acc: 0.7000000
Epoch: 030, Train Loss: 0.5498869, Train Acc: 0.7000000, Test Acc: 0.6900000
Epoch: 031, Train Loss: 0.5456718, Train Acc: 0.6966667, Test Acc: 0.7300000
Epoch: 032, Train Loss: 0.5338941, Train Acc: 0.7244444, Test Acc: 0.7600000
Epoch: 033, Train Loss: 0.5578520, Train Acc: 0.6933333, Test Acc: 0.6800000
Epoch: 034, Train Loss: 0.5768431, Train Acc: 0.6800000, Test Acc: 0.7200000
Epoch: 035, Train Loss: 0.5622998, Train Acc: 0.6866667, Test Acc: 0.7000000
Epoch: 036, Train Loss: 0.5463981, Train Acc: 0.7033333, Test Acc: 0.7400000
Epoch: 037, Train Loss: 0.5616679, Train Acc: 0.6855556, Test Acc: 0.6900000
Epoch: 038, Train Loss: 0.5491965, Train Acc: 0.7055556, Test Acc: 0.7100000
Epoch: 039, Train Loss: 0.5297101, Train Acc: 0.7200000, Test Acc: 0.7400000
Epoch: 040, Train Loss: 0.5331709, Train Acc: 0.7177778, Test Acc: 0.7600000
Epoch: 041, Train Loss: 0.5322272, Train Acc: 0.7166667, Test Acc: 0.7400000
Epoch: 042, Train Loss: 0.5318579, Train Acc: 0.7166667, Test Acc: 0.7600000
Epoch: 043, Train Loss: 0.5284816, Train Acc: 0.7144444, Test Acc: 0.7300000
Epoch: 044, Train Loss: 0.5507866, Train Acc: 0.6966667, Test Acc: 0.6800000
Epoch: 045, Train Loss: 0.5269320, Train Acc: 0.7200000, Test Acc: 0.7400000
Epoch: 046, Train Loss: 0.5300856, Train Acc: 0.7133333, Test Acc: 0.7300000
Epoch: 047, Train Loss: 0.5353216, Train Acc: 0.7177778, Test Acc: 0.7300000
Epoch: 048, Train Loss: 0.5276553, Train Acc: 0.7155556, Test Acc: 0.7400000
Epoch: 049, Train Loss: 0.5187698, Train Acc: 0.7200000, Test Acc: 0.7400000
Epoch: 050, Train Loss: 0.5226846, Train Acc: 0.7122222, Test Acc: 0.7500000
Epoch: 051, Train Loss: 0.5162208, Train Acc: 0.7233333, Test Acc: 0.7500000
Epoch: 052, Train Loss: 0.5220061, Train Acc: 0.7233333, Test Acc: 0.7600000
Epoch: 053, Train Loss: 0.5244461, Train Acc: 0.7188889, Test Acc: 0.7400000
Epoch: 054, Train Loss: 0.5435637, Train Acc: 0.6955556, Test Acc: 0.6800000
Epoch: 055, Train Loss: 0.5340571, Train Acc: 0.7200000, Test Acc: 0.7400000
Epoch: 056, Train Loss: 0.5183592, Train Acc: 0.7211111, Test Acc: 0.7500000
Epoch: 057, Train Loss: 0.5226808, Train Acc: 0.7100000, Test Acc: 0.7400000
Epoch: 058, Train Loss: 0.5110150, Train Acc: 0.7155556, Test Acc: 0.7600000
Epoch: 059, Train Loss: 0.5122902, Train Acc: 0.7177778, Test Acc: 0.7500000
Epoch: 060, Train Loss: 0.5094606, Train Acc: 0.7200000, Test Acc: 0.7300000
Epoch: 061, Train Loss: 0.5143645, Train Acc: 0.7166667, Test Acc: 0.7500000
Epoch: 062, Train Loss: 0.5060721, Train Acc: 0.7188889, Test Acc: 0.7700000
